iter	Passed	Remaining
414	2750	1226
415	2756	1219
416	2762	1212
417	2769	1205
418	2776	1199
419	2783	1192
420	2790	1186
421	2797	1180
422	2804	1173
423	2810	1166
424	2817	1160
425	2823	1153
426	2829	1146
427	2836	1139
428	2843	1133
429	2849	1126
430	2855	1119
431	2861	1112
432	2868	1106
433	2874	1099
434	2880	1092
435	2886	1085
436	2892	1078
437	2898	1072
438	2904	1065
439	2911	1058
440	2917	1051
441	2923	1044
442	2929	1038
443	2936	1031
444	2942	1024
445	2948	1018
446	2955	1011
447	2961	1004
448	2967	998
449	2974	991
450	2980	984
451	2986	977
452	2992	971
453	2999	964
454	3005	957
455	3010	950
456	3016	944
457	3022	937
458	3029	930
459	3034	923
460	3040	916
461	3047	910
462	3053	903
463	3058	896
464	3065	889
465	3071	883
466	3078	876
467	3084	870
468	3091	863
469	3097	856
470	3103	849
471	3109	843
472	3116	836
473	3123	830
474	3129	823
475	3135	816
476	3143	810
477	3149	803
478	3156	797
479	3162	790
480	3168	783
481	3174	777
482	3180	770
483	3187	763
484	3193	757
485	3199	750
486	3205	743
487	3212	737
488	3218	730
489	3224	723
490	3230	717
491	3235	710
492	3242	703
493	3248	697
494	3254	690
495	3260	683
496	3266	677
497	3273	670
498	3280	664
499	3287	657
500	3293	650
501	3300	644
502	3306	637
503	3313	631
504	3320	624
505	3327	618
506	3333	611
507	3340	604
508	3347	598
509	3354	591
510	3361	585
511	3369	579
512	3379	573
513	3389	567
514	3399	561
515	3406	554
516	3413	547
517	3420	541
518	3427	534
519	3434	528
520	3441	521
521	3447	515
522	3454	508
523	3462	502
524	3469	495
525	3476	489
526	3482	482
527	3489	475
528	3495	469
529	3501	462
530	3507	455
531	3513	449
532	3518	442
533	3525	435
534	3531	429
535	3538	422
536	3544	415
537	3550	409
538	3556	402
539	3562	395
540	3569	389
541	3575	382
542	3581	375
543	3588	369
544	3595	362
545	3602	356
546	3610	349
547	3617	343
548	3626	336
549	3634	330
550	3641	323
551	3649	317
552	3656	310
553	3664	304
554	3670	297
555	3679	291
556	3686	284
557	3693	278
558	3701	271
559	3708	264
560	3715	258
561	3722	251
562	3730	245
563	3737	238
564	3745	232
565	3753	225
566	3759	218
567	3766	212
568	3774	205
569	3782	199
570	3790	192
571	3798	185
572	3806	179
573	3812	172
574	3819	166
575	3826	159
576	3833	152
577	3840	146
578	3848	139
579	3854	132
580	3862	126
581	3869	119
582	3875	113
583	3882	106
584	3888	99
585	3894	93
586	3902	86
587	3909	79
588	3915	73
589	3921	66
590	3928	59
591	3935	53
592	3941	46
593	3948	39
594	3955	33
595	3962	26
596	3969	19
597	3976	13
598	3982	6
599	3989	0
