iter	MultiClass
0	1.252605992
1	1.139559573
2	1.047796015
3	0.9644684673
4	0.8933712022
5	0.8305016026
6	0.7740615648
7	0.7217902067
8	0.6747150655
9	0.6333500998
10	0.5943148425
11	0.5578938433
12	0.5253439612
13	0.49556258
14	0.4677662048
15	0.4418924705
16	0.4179364593
17	0.3962245606
18	0.3755437805
19	0.3564645989
20	0.3379544853
21	0.3205761019
22	0.30503946
23	0.2897647738
24	0.2754363268
25	0.2616780289
26	0.248941105
27	0.2371251225
28	0.2263389453
29	0.2154554978
30	0.2054209871
31	0.1962719995
32	0.1875380977
33	0.1792505572
34	0.1712163417
35	0.1641285809
36	0.1568471869
37	0.1500116795
38	0.1436780167
39	0.1377658989
40	0.1320935382
41	0.1265744808
42	0.121425111
43	0.1163849599
44	0.1119252799
45	0.1075429157
46	0.1032988611
47	0.09923841233
48	0.09532168862
49	0.09182955449
50	0.08848617229
51	0.08522757972
52	0.08198777035
53	0.07895224624
54	0.07598983107
55	0.07326133391
56	0.07065734571
57	0.06818523368
58	0.06584974533
59	0.0636367976
60	0.06140351555
61	0.05929511893
62	0.05732108049
63	0.05539190494
64	0.05355602393
65	0.05185889209
66	0.05020126295
67	0.04872578152
68	0.04729853797
69	0.04606430085
70	0.04470344079
71	0.04347403957
72	0.0422684826
73	0.04119872251
74	0.04005246784
75	0.03912032379
76	0.03818318416
77	0.03707726254
78	0.03616515781
79	0.03533906406
80	0.03442690744
81	0.03345411806
82	0.03273940856
83	0.03205242798
84	0.03144905449
85	0.03081472633
86	0.03012412212
87	0.02951640723
88	0.02892441233
89	0.02834332712
90	0.02778062598
91	0.02738354339
92	0.02690678429
93	0.02642146198
94	0.02599380469
95	0.02549221471
96	0.02502360319
97	0.02457856957
98	0.02413657535
99	0.02364562451
100	0.02325626962
101	0.02287380748
102	0.02251077194
103	0.0222747498
104	0.02195165789
105	0.02162248335
106	0.0213701395
107	0.02104836374
108	0.02070213157
109	0.02049918292
110	0.02018019819
111	0.02004488014
112	0.01988745792
113	0.01960685365
114	0.01947174212
115	0.01925952864
116	0.01908948002
117	0.01885245863
118	0.01862748095
119	0.01838533008
120	0.01832249886
121	0.01820080888
122	0.01809145098
123	0.01788650272
124	0.01776698698
125	0.01756517523
126	0.01742976599
127	0.0172873405
128	0.01704156089
129	0.01689860954
130	0.01670116044
131	0.01650380403
132	0.01629368204
133	0.01619355855
134	0.01603944199
135	0.01584395813
136	0.01568577851
137	0.015594883
138	0.01545023829
139	0.01529996222
140	0.01521432697
141	0.01510257305
142	0.01503397586
143	0.01487308242
144	0.01480490651
145	0.0146674507
146	0.01461693167
147	0.01452185535
148	0.01443790501
149	0.01430950166
150	0.01422929623
151	0.01411206058
152	0.01400513558
153	0.01393796752
154	0.01389106085
155	0.0137765334
156	0.01373377567
157	0.01362060211
158	0.01358576163
159	0.01351930957
160	0.0134157294
161	0.01334794865
162	0.01326027943
163	0.0131762142
164	0.01307593279
165	0.01302589604
166	0.01293092776
167	0.0129036329
168	0.01285782543
169	0.0127648178
170	0.01273883583
171	0.01267429375
172	0.01261229642
173	0.01257690941
174	0.01248971254
175	0.01240960873
176	0.01236723972
177	0.01226828652
178	0.01222761761
179	0.01219480712
180	0.01215264847
181	0.01207129317
182	0.01201338545
183	0.01193521201
184	0.01191113451
185	0.01186209455
186	0.01179202535
